gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,sample_id,sample_type,padj_ir,padj_gc,padj_ic,padj_global
CLU,8.58552235298242e-05,5.130275483063226e-74,0.0531831894571815,2.9201879820558657e-257,0.5205008822803666,1.4233553623270663e-262,4345,7,GBM_1,GBM,5.6433030313695495e-73,1.070735593420484e-256,7.828454492798865e-262,9.234495869513806e-72
CLU,0.0001831128108807,7.526250188231098e-58,0.2381822100607433,2.449345496483671e-88,4.405729532983692,3.3781160669575748e-102,1038,10,DMG_2,DMG,1.9568250489400853e-56,3.184149145428772e-87,8.783101774089695e-101,3.386812584703994e-56
CLU,7.014788551396477e-05,1.5953667126297332e-40,0.2186349391037786,1e-300,0.7059932883725356,1e-300,3704,8,DMG_1,DMG,2.3930500689446e-39,3.75e-300,5e-300,5.74332016546704e-39
CLU,8.761192623681168e-05,3.3263124060514754e-16,0.0574333111926915,1.3982969048724349e-95,0.6303001277289354,7.632906260418659e-93,2729,8,GBM_2,GBM,2.162103063933459e-15,4.544464940835413e-95,4.961389069272128e-92,3.9980841748725766e-15
CLU,9.298455655055926e-05,1.6002976896962657e-11,0.1410273351568857,3.1786899123079402e-167,0.5536157305387444,3.724633202740381e-113,2361,8,GBM_4,GBM,1.9203572276355188e-10,1.9072139473847638e-166,4.469559843288457e-112,1.3716837340253707e-10
CLU,0.0001475315434814,2.0836555801991177e-10,0.1049652054129062,1.7027495313754544e-36,1.0761778698668818,3.781746784271125e-27,1003,8,DMG_5,DMG,4.792407834457971e-09,1.3054413073878485e-35,4.349008801911793e-26,1.7048091110720054e-09
CLU,0.0001111458460862,1.5185802056562253e-07,0.2320904709294724,1.969273996938929e-208,1.7784035416730932,1.8443851113471411e-239,1983,8,GBM_5,GBM,2.5815863496155832e-06,3.3477657947961786e-207,3.1354546892901396e-238,8.542013656816268e-07
CLU,0.0001526684485017,8.829116080552699e-07,0.0224774635492425,7.46059393738199e-50,0.6949364804795101,8.77233929773235e-49,1816,8,DMG_3,DMG,2.9009952836101727e-06,1.3199512350752753e-49,2.8823400549692005e-48,4.414558040276349e-06
CLU,0.0001407501471232,1.630200373967741e-06,0.1095307256080567,4.737484356329977e-147,1.5307324955971755,3.155957015209966e-158,1667,8,GBM_3,GBM,4.657715354193545e-06,9.474968712659954e-146,6.311914030419934e-157,7.101005967290712e-06
CLU,0.0001626277698498,5.42840980871077e-05,0.0204861016204171,2.100329635582507e-23,0.3824192925673256,7.775475168037269e-16,1947,7,DMG_4,DMG,0.0004885568827839,6.300988906747521e-23,2.332642550411181e-15,0.0001954227531135
CLU,0.0001525491881323,0.015564128267737,0.0451334743181397,5.384626984404316e-19,0.5651584910769231,1.266450974494096e-12,1510,8,GBM_6,GBM,0.0428013527362767,5.384626984404316e-19,1.5478845243816729e-12,0.0345869517060822
