gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,sample_id,sample_type,padj_ir,padj_gc,padj_ic,padj_global
CLU,8.58552235298242e-05,5.130275483063226e-74,0.0531831894571815,2.9201879820558657e-257,0.5205008822803666,1.4233553623270663e-262,4345,7,GBM_1,GBM,5.6433030313695495e-73,1.070735593420484e-256,7.828454492798865e-262,9.234495869513806e-72
B2M,0.0001409378044443,1.6850535287819103e-67,0.0115660373986315,1.526654790037847e-99,0.143461841147553,5.514749525704935e-88,3893,4,GBM_1,GBM,9.267794408300504e-67,2.3990289557737597e-99,1.0110374130459047e-87,1.516548175903719e-65
PTGDS,0.0001052047935921,8.193721870750214e-63,0.0168338717970694,1e-300,0.4484933603805273,1e-300,2377,5,GBM_1,GBM,3.004364685941745e-62,5.5e-300,1.1e-299,4.9162331224501275e-61
CLU,0.0001831128108807,7.526250188231098e-58,0.2381822100607433,2.449345496483671e-88,4.405729532983692,3.3781160669575748e-102,1038,10,DMG_2,DMG,1.9568250489400853e-56,3.184149145428772e-87,8.783101774089695e-101,3.386812584703994e-56
CLU,7.014788551396477e-05,1.5953667126297332e-40,0.2186349391037786,1e-300,0.7059932883725356,1e-300,3704,8,DMG_1,DMG,2.3930500689446e-39,3.75e-300,5e-300,5.74332016546704e-39
CD74,7.663071907537265e-05,5.496267280841306e-38,0.007721307891328,4.1150508569479874e-151,0.1924480147228843,2.4154845230346933e-54,1679,6,GBM_1,GBM,1.511473502231359e-37,9.053111885285572e-151,3.3212912191727035e-54,1.6488801842523922e-36
CST3,9.481385943216232e-05,2.4325759363273632e-24,0.0109943391413488,1.0499104507788457e-100,0.257000321132296,7.136690053169246e-78,1936,2,DMG_3,DMG,5.594924653552934e-23,3.4497057668447787e-100,4.1035967805723166e-77,6.25519526484179e-23
B2M,8.105183052337247e-05,1.4239443912323648e-22,0.0780855540252624,1e-300,0.4287691763587549,1e-300,3416,4,DMG_1,DMG,1.0679582934242736e-21,3.75e-300,5e-300,3.203874880272821e-21
CST3,3.9800985716329895e-05,4.393056007965161e-22,0.0062525384804761,2.420734572759065e-193,0.1655543147906678,1.981385055895781e-223,2602,2,GBM_1,GBM,9.664723217523357e-22,6.65702007508743e-193,7.26507853828453e-223,8.786112015930323e-21
MIF,8.215951435679867e-05,2.238403099846325e-21,0.0098638686337264,1.3391491906581875e-80,1.0090392557376706,2.8057854345233303e-93,1758,4,GBM_3,GBM,4.47680619969265e-20,8.927661271054583e-80,2.8057854345233303e-92,4.0291255797233854e-20
SPARCL1,0.0002410238356948,2.34310989519467e-20,0.0979638880367044,5.2313102392356315e-50,2.12366141071923,1.8060441461148306e-52,992,10,DMG_2,DMG,3.0460428637530714e-19,2.266901103668773e-49,1.5652382599661862e-51,3.580736978986885e-19
B2M,8.849101678038329e-05,2.3871579859912564e-20,0.0364797929267696,4.890211139825888e-104,0.4230800490483227,1.452005885549212e-88,2743,5,GBM_2,GBM,3.1033053817886334e-19,2.1190914939245512e-103,6.292025504046585e-88,3.580736978986885e-19
PTGDS,7.915117754250017e-05,4.9902178997803576e-18,0.0349820552998947,2.0357808912951438e-212,0.391138028113389,1.2659111860162346e-146,3511,7,DMG_1,DMG,2.4951089498901786e-17,4.36238762420388e-212,3.797733558048703e-146,6.909532476618956e-17
