sample,gene,n_isoforms,n_spots,expressing_spots,total_counts,hsic_ir,pvalue,log10_pval
MGH258,HMGB1,5,2212,1830,5273,0.000163285467993,1.500778157345854e-05,-4.823683499736064
MGH258,VCAN,3,2212,1300,2544,9.565020646015444e-05,0.6167593870961954,-0.2098842318130065
MGH258,APP,2,2212,1742,6322,2.500210951728544e-05,0.3049057569306753,-0.5158343756358602
MGH258,C3,2,2212,2178,14223,1.5897981574451125e-05,1.1768282712551715e-11,-10.929286906984608
ZH1007inf,SPP1,2,1400,1390,46025,1.953670321857396e-05,0.0001205314806392,-3.91889950842256
ZH1007inf,HMGB1,4,1400,1286,6204,0.0002229975242045,1.9403382628993147e-05,-4.712122552077669
ZH1007inf,VCAN,8,1400,766,1282,0.0002636850420005,0.000581196539211,-3.235676980413273
ZH1007inf,APP,3,1400,1178,5566,7.428246896404215e-05,1.55137318325679e-05,-4.809283719959164
ZH1007inf,C3,2,1400,1361,9952,1.8562793087389967e-05,0.0013714586413518,-2.8628172847444704
ZH1007nec,SPP1,2,952,951,81541,4.4759000657839495e-05,2.1928378151278472e-33,-32.65899348806699
ZH1007nec,HMGB1,4,952,940,9082,0.0003443522157834,1.9768152219918784e-25,-24.70403392341252
ZH1007nec,VCAN,7,952,547,936,0.0004009177538097,0.0002989700960726,-3.52437224900034
ZH1007nec,APP,3,952,933,8199,5.488904334883739e-05,0.0049829317069875,-2.3025150649625385
ZH1007nec,IGFBP5,4,952,816,4399,3.927621391642581e-05,0.1525602311676156,-0.8165586618947736
ZH1007nec,C3,2,952,912,5814,0.0001398275362173,3.102321774807145e-08,-7.508313158883572
ZH1019T1,SPP1,2,1109,1050,6809,4.455386075536972e-05,0.0211874696182156,-1.6739209072092194
ZH1019T1,HMGB1,5,1109,1013,3457,0.0002984455467151,0.0033943879978092,-2.4692385168572826
ZH1019T1,VCAN,7,1109,1028,3637,0.0005406697626415,3.6518686955863016e-19,-18.4374848460905
ZH1019T1,C3,2,1109,1031,4440,9.1315088006368e-05,0.2238305814738608,-0.6500805770659207
ZH1019inf,SPP1,2,1481,1478,26285,1.9456867628862396e-05,0.0015109679987688,-2.8207447336128366
ZH1019inf,HMGB1,5,1481,1188,3598,0.000236147369057,0.0001885002663107,-3.724688031892114
ZH1019inf,VCAN,10,1481,1048,2684,0.0003222239870234,4.579759718550435e-12,-11.339157307071478
ZH1019inf,C3,2,1481,1358,8100,3.840256634195477e-05,0.0083465691845737,-2.0784920024075784
ZH8811Abulk,SPP1,2,2383,2381,136268,3.6371189503524216e-05,1.094605981200172e-90,-89.96074218309363
ZH8811Abulk,HMGB1,5,2383,2278,22056,0.000185682963471,4.001209587044027e-86,-85.39780869928015
ZH8811Abulk,VCAN,3,2383,1899,8333,9.29175566377388e-05,0.0401300463647841,-1.3965303384979506
ZH8811Abulk,IGFBP5,3,2383,1917,7522,4.102202216018911e-05,2.944337339289664e-07,-6.531012433397368
ZH8811Abulk,C3,2,2383,2234,18795,5.7440118264166085e-05,2.7144812383328553e-30,-29.566313155709047
ZH8811Bbulk,SPP1,2,2528,2528,157393,2.397157467709167e-05,2.1137225037180848e-59,-58.67495202886135
ZH8811Bbulk,HMGB1,5,2528,2370,30033,0.0001212943634508,3.002510474133206e-84,-83.52251546890413
ZH8811Bbulk,VCAN,3,2528,1946,9946,7.399856531599355e-05,0.2246471058190343,-0.6484991721518356
ZH8811Bbulk,IGFBP5,2,2528,2067,8017,2.679441899234956e-05,4.771472637988523e-07,-6.3213475622916695
ZH8811Bbulk,C3,2,2528,2309,22067,6.283435717440522e-05,9.186796624397104e-45,-44.036835897849166
ZH8812bulk,SPP1,2,2049,2047,73815,2.285082901315297e-05,2.1302628187274277e-35,-34.6715668126731
ZH8812bulk,HMGB1,5,2049,1946,12833,0.0001014858537936,8.570256205961219e-13,-12.067006194742849
ZH8812bulk,VCAN,5,2049,992,1630,0.000116432204821,0.6763556241410024,-0.1698248943074495
ZH8812bulk,CTSB,2,2049,1915,9917,1.8460531470705006e-05,0.397426548117847,-0.4007431253591052
ZH8812bulk,IGFBP5,3,2049,1023,1652,9.411795514424322e-05,0.0002867653910464,-3.54247326368939
ZH8812bulk,C3,2,2049,1992,13670,1.5209255302017756e-05,0.288821361974315,-0.5393706883722414
ZH881T1,HMGB1,6,2770,2555,10996,0.0001102774276391,1.9375156489045305e-07,-6.712754781102715
ZH881T1,VCAN,4,2770,2088,5164,0.0001097726674399,0.020915549563275,-1.6795307196962042
ZH881T1,APP,2,2770,2707,22154,2.2231616899650284e-05,4.5072506509222985e-12,-11.346088289879855
ZH881inf,SPP1,2,1044,1020,8609,5.256014715897877e-05,0.1762327823143132,-0.7539133022012199
ZH881inf,HMGB1,5,1044,745,1745,0.0002607411197863,0.5118549619593111,-0.290853082274432
ZH881inf,VCAN,4,1044,224,292,0.000106613995739,0.8568583607158756,-0.0670909613245496
ZH881inf,APP,2,1044,878,3095,3.41154132395464e-05,0.2493126841231178,-0.6032556256095616
ZH881inf,C3,2,1044,658,1513,7.1473292768184e-05,0.3689187338662739,-0.4330692905358188
ZH916T1,SPP1,2,2491,2477,84697,2.3356650075533752e-05,2.298172290435899e-41,-40.63861741603904
ZH916T1,HMGB1,6,2491,2190,15264,0.0001134836713449,4.50725693385587e-16,-15.346087684490518
ZH916T1,VCAN,3,2491,1595,4126,9.606721677800706e-05,0.043923740917912,-1.357300678785205
ZH916T1,C3,2,2491,2370,38662,2.051495903036532e-05,3.7836776199938106e-12,-11.42208587380886
ZH916bulk,SPP1,2,2058,2038,129436,2.830625799786179e-05,2.599198077463319e-26,-25.58516062289552
ZH916bulk,HMGB1,4,2058,1921,19900,8.275815572106298e-05,3.7926644466085896e-26,-25.421055579504625
ZH916bulk,VCAN,4,2058,1164,3277,0.0001072081911599,0.0263703431169992,-1.578884219359013
ZH916bulk,APP,3,2058,1867,10365,5.687841595739486e-05,5.720667821789533e-28,-27.2425532693908
ZH916bulk,CTSB,2,2058,1999,22826,1.512661512034971e-05,5.143558499698639e-09,-8.288736316400612
ZH916bulk,IGFBP5,3,2058,1077,2639,5.218735713513399e-05,1.3190769371377766e-05,-4.879729872838829
ZH916inf,SPP1,2,881,857,6518,4.916404032370342e-05,0.0691079700432188,-1.16047186367951
ZH916inf,CLU,2,881,881,17661,1.6703611633606835e-06,0.0001447944965231,-3.8392479448727537
ZH916inf,HMGB1,6,881,648,1884,0.0002993908973796,0.443717618989487,-0.352893326122321
ZH916inf,CCL2,2,881,340,654,9.680414997176355e-06,0.8038557264936875,-0.0948218900700783
ZH916inf,VCAN,7,881,287,422,0.0002342593856031,0.3307075812919494,-0.4805558490067099
ZH916inf,APP,5,881,769,2831,5.41433657687555e-05,0.1098797106104345,-0.9590824930488628
ZH916inf,SPARCL1,3,881,868,8219,8.255639533236125e-05,0.0299383936918883,-1.5237715049102512
ZH916inf,CTSB,3,881,689,1819,4.915090030803505e-05,0.0152778015436709,-1.8159391356912669
ZH916inf,IGFBP5,4,881,601,1353,0.0001371380722816,0.0173543751872098,-1.760591017695922
ZH916inf,C3,2,881,696,1944,5.9102892814428905e-05,0.4024444126556056,-0.3952940977659403
