gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,padj_ir,padj_gc,padj_ic,sample,n_spots,padj_ir_global,padj_gc_global,padj_ic_global
NCAM1,0.0002726743029518044,2.0768621581481827e-54,0.0008837627164014291,5.132304993915569e-15,0.4208031364831262,3.3169844610653256e-56,1170,5,2.4922345897778193e-53,6.843073325220759e-15,1.9901906766391955e-55,MGH258,2212,4.222953054901305e-53,7.826765115721242e-15,1.734309018214156e-55
C3,3.118427597938413e-05,8.854882945050266e-11,0.0024634084850126367,7.3913060987221596e-96,0.7202716471373034,8.18851529012305e-186,2178,2,5.312929767030159e-10,4.434783659233296e-95,9.826218348147662e-185,MGH258,2212,3.5227034324873886e-10,3.8645971887604434e-95,2.497497163487531e-184
HMGB1,0.00016668944639169667,3.5487700621967175e-07,0.002694520339804457,1.917416297029672e-24,0.35231864175491423,3.7166927337266677e-32,1830,5,1.4195080248786872e-06,3.834832594059344e-24,1.486677093490667e-31,MGH258,2212,1.119698140313792e-06,3.474130518380495e-24,1.2595458708740374e-31
ITM2B,4.673715791502189e-05,0.0004896249399945251,0.0015498191406402902,9.361909158230384e-23,0.06738120366341244,4.61612664481184e-05,2169,2,0.0014688748199835752,1.6048987128394943e-22,6.92418996721776e-05,MGH258,2212,0.00110618967924689,1.6162541282605286e-22,6.758009408004534e-05
MIF,2.7095629420768388e-05,0.0016447998485741018,0.0022425226757970857,4.138868259596958e-15,0.03792254314330329,4.002081379757427e-05,2060,2,0.003947519636577844,6.208302389395437e-15,6.860710936727018e-05,MGH258,2212,0.0034204360487393253,6.41875331784952e-15,5.954316199151294e-05
SERPINE1,1.6552234179740507e-05,0.04024676661499992,5.942802038297097e-05,0.00010572524162529812,0.12175826500526599,0.05755125945243566,153,2,0.08049353322999984,0.00011533662722759795,0.0690615113429228,MGH258,2212,0.06757025954628428,0.0001272876264304576,0.06623824201129387
APP,3.576051846279173e-05,0.05417815174330315,0.006642994906567518,7.57888006946967e-98,0.02935686773433129,4.236163637103584e-08,1742,2,0.09287683155994826,9.094656083363605e-97,1.0166792729048603e-07,MGH258,2212,0.08408480233122882,4.2028334930695443e-97,7.45401870759573e-08
SPARC,3.718746538923525e-05,0.4553791117706877,0.0021101000561739446,2.6577258424916673e-37,0.05300990136383856,1.977645697495225e-07,2087,2,0.6028414616553788,7.973177527475002e-37,3.955291394990451e-07,MGH258,2212,0.5446691336865088,6.004491718221914e-37,3.320267547170882e-07
COL1A2,3.114162741882369e-05,0.4937276501614031,0.00021274623803250352,3.89520192782971e-06,0.06633664693543599,0.7331329319162825,363,2,0.6028414616553788,4.674242313395651e-06,0.7997813802723083,MGH258,2212,0.5791805126893382,4.916013467536806e-06,0.7453518141148872
VCAN,9.551272938155571e-05,0.5023678847128157,0.0029921992753006153,9.789535673698854e-68,0.21358118648774393,1.0850241653117854e-26,1300,3,0.6028414616553788,3.915814269479542e-67,3.255072495935356e-26,MGH258,2212,0.5855625662576132,3.03641530218117e-67,3.1024909726883866e-26
DKK3,3.560442027203805e-05,0.7139545783316446,0.00048293319839262856,0.0003325930044254845,0.06552287475635328,0.00028719508141873456,1224,2,0.7788595399981577,0.0003325930044254845,0.00038292677522497944,MGH258,2212,0.7596144641551799,0.0003876721006997686,0.00039815681742142746
COL3A1,2.74474708067543e-05,0.9957554992654802,0.0004826808188654698,3.458166595200582e-28,0.05858522452535164,0.9234940142054701,385,2,0.9957554992654802,8.299599828481396e-28,0.9234940142054701,MGH258,2212,0.9957554992654802,6.804779429265661e-28,0.9234940142054701
SPP1,0.00019698044199164668,5.516709453664348e-43,0.027740120773032517,5.054290851016957e-152,0.529786213913568,1.620124644219202e-58,1390,2,7.171722289763652e-42,6.570578106322044e-151,2.1061620374849625e-57,ZH1007inf,1400,1.0095578300205758e-41,6.166234838240687e-151,9.882760329737132e-58
SPARC,7.823790994036007e-05,1.975451189706514e-09,0.008857105200498368,2.05081417462209e-75,0.47129573426120436,2.4603688609165428e-57,1377,2,1.284043273309234e-08,8.88686142336239e-75,1.5992397595957528e-56,ZH1007inf,1400,7.230151354325841e-09,7.50597987911685e-75,1.407023442336648e-56
