"event_id","gene","event_type","state1","state2","n_cells_state1","n_cells_state2","mean_psi_state1","mean_psi_state2","delta_psi","pvalue","padj"
"chr5:150404680:150404767:-@chr5:150403121:150403312:-@chr5:150402563:150402625","CD74","SE","Macrophage","T cell",3861,4011,0.222463896978538,0.136710785421627,-0.085753111556911,4.53606128616923e-271,1.53092068408212e-267
"chr5:150407152:150407324:-@chr5:150406881:150406960:-@chr5:150405085:150406321","CD74","SE","Macrophage","T cell",3934,4453,0.993693985280314,0.997887364310912,0.00419337903059791,1.96295049725238e-183,3.31247896411339e-180
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_OPC_N",11,1163,0.893006993006993,0.000527917673231517,-0.892479075333761,1.39394369055114e-180,1.56818665187003e-177
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","MXE","Macrophage","Tumor_OPC_N",94,652,0.00740216433754248,0.997813153756643,0.990410989419101,7.71827818880662e-153,6.51229722180558e-150
"chr4:87977059:87977097:+@chr4:87977662:87977859:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Oligodendrocyte",2126,707,0.0906721421800996,2.24512247143082e-05,-0.0906496909553853,1.86103810671178e-107,1.25620072203045e-104
"chr4:87977059:87977097:+@chr4:87977662:87977850:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Oligodendrocyte",2008,706,0.083086319842135,0,-0.083086319842135,1.24536207164936e-96,7.00516165302767e-94
"chr5:150405085:150405180:-@chr5:150404680:150404767:-@chr5:150402563:150402625","CD74","SE","Macrophage","T cell",3938,3960,0.998096930118523,0.999741297994715,0.00164436787619204,1.92184283799561e-86,9.26602796890739e-84
"chr4:87977059:87977097:+@chr4:87977662:87977787:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Oligodendrocyte",1889,702,0.0755115855731322,0.00107200994050113,-0.074439575632631,3.86079330101385e-83,1.62877217386522e-80
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","MXE","Macrophage","Tumor_OPC_OL",94,287,0.00740216433754248,0.997074567952984,0.989672403615441,1.91725467726632e-82,7.18970503974871e-80
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_OPC_OL",11,510,0.893006993006993,0.00116085225164353,-0.89184614075535,3.04521531001961e-81,1.02776016713162e-78
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_OPC_N",28,748,0.00714285714285714,0.987228629124732,0.980085771981875,1.24797268913331e-78,3.82900711438631e-76
"chr4:87977059:87977097:+@chr4:87977662:87977859:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Tumor_MES",2126,562,0.0906721421800996,0.00648868038105149,-0.0841834617990481,5.62442849891101e-68,1.58187051531872e-65
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_AC",11,321,0.893006993006993,0,-0.893006993006993,3.74900629093093e-67,9.7329971014553e-65
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_MES",11,384,0.893006993006993,0.00354166666666667,-0.889465326340326,1.57869516923187e-66,3.80578299725541e-64
"chr4:87977059:87977097:+@chr4:87977662:87977850:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Tumor_MES",2008,542,0.083086319842135,0.00379992503979143,-0.0792863948023436,1.97348638759752e-64,4.44034437209443e-62
"chr4:87977059:87977097:+@chr4:87977662:87977787:+@chr4:87980046:87980126","SPP1","SE","Macrophage","Tumor_MES",1889,528,0.0755115855731322,0.0014350661169405,-0.0740765194561917,5.71596934201495e-62,1.20571228308128e-59
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Tumor_OPC_N","T cell",1061,1663,0.0975166944349072,0.0259579571468389,-0.0715587372880683,5.49440758742469e-60,1.09080150632696e-57
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_OPC_OL",28,319,0.00714285714285714,0.992597219433937,0.98545436229108,2.67865170942115e-55,5.02247195516465e-53
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","MXE","Macrophage","Tumor_MES",94,165,0.00740216433754248,0.974366672158831,0.966964507821288,2.61456215343454e-54,4.64428803570609e-52
"chr5:83512103:83512396:+@chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","MXE","Macrophage","Tumor_AC",94,143,0.00740216433754248,1,0.992597835662458,1.03685579432018e-52,1.74969415291531e-50
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_MES","Tumor_NPC",538,200,0.82172569450506,0.270211273769019,-0.551514420736041,8.57355008827125e-52,1.37789197847217e-49
"chr8:27614655:27614690|27611601:27611751:-@chr8:27610475:27610600","CLU","AFE","Tumor_MES","Tumor_AC",2638,1738,0.0125136672096741,0.0597189029365793,0.0472052357269051,3.05267760369029e-51,4.68308496020669e-49
"chr13:30465796:30465936|30464161:30464310:-@chr13:30463531:30463694","HMGB1","AFE","Macrophage","Tumor_OPC_N",1100,1061,0.0211763523275958,0.0975166944349072,0.0763403421073114,1.73307734711689e-49,2.54310262892153e-47
"chr5:150412625:150412912:-@chr5:150406881:150407324:-@chr5:150406039:150406321","CD74","SE","Macrophage","T cell",3894,4500,0.999233575152682,0.999394499020285,0.00016092386760358,4.95538189642853e-48,6.96850579185262e-46
"chr21:26021840:26022042:-@chr21:26000015:26000182:-@chr21:25982344:25982477","APP","SE","Tumor_OPC_N","Tumor_MES",1105,538,0.53616615125976,0.82172569450506,0.2855595432453,5.45602974738164e-46,7.36564015896521e-44
"chr5:83541948:83542268:+@chr5:83544965:83545070:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_OPC_OL",226,37,0,0.782361308677098,0.782361308677098,5.21172998629263e-45,6.76522642451448e-43
"chr5:150405085:150405180:-@chr5:150404680:150404767:-@chr5:150403121:150403312:-@chr5:150402563:150402625","CD74","MXE","Macrophage","T cell",299,2331,0.988514054830141,0.999670874804295,0.011156819974154,2.82545429184438e-44,3.53181786480547e-42
"chr8:27614655:27614690|27611146:27611431:-@chr8:27610475:27610600","CLU","AFE","Tumor_MES","Tumor_AC",2648,1742,0.0215289668489311,0.0807655934561635,0.0592366266072325,1.97911392617005e-43,2.38553910743711e-41
"chr5:83541948:83542268:+@chr5:83544965:83545070:+@chr5:83545537:83545650","VCAN","SE","Macrophage","Tumor_AC",226,15,0,0.8,0.8,4.41879446513977e-43,5.14256252408508e-41
"chr5:83519349:83522309:+@chr5:83537007:83542268:+@chr5:83545537:83545650","VCAN","SE","Tumor_OPC_N","Neuron",1163,14,0.000527917673231517,0.285714285714286,0.285186368041054,7.41781621511609e-43,8.34504324200561e-41
