"id","event_type","gene_id","gene_short_name","gene_type","event_name_simple","source_object","gene_column"
"chrX:47582408:47582474:+@chrX:47583408:47583536:+@chrX:47584936:47585015","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3391","splice_feature","gene_short_name"
"chrX:47583408:47583536:+@chrX:47584936:47585015:+@chrX:47585205:47585254","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3392","splice_feature","gene_short_name"
"chrX:47583408:47583536:+@chrX:47584936:47585015:+@chrX:47586521:47586789","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3393","splice_feature","gene_short_name"
"chrX:47583408:47583536:+@chrX:47585205:47585331:+@chrX:47586521:47586789","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3394","splice_feature","gene_short_name"
"chrX:47584936:47585015:+@chrX:47585205:47585331:+@chrX:47585543:47585667","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3395","splice_feature","gene_short_name"
"chrX:47584936:47585015:+@chrX:47585205:47585331:+@chrX:47586521:47586789","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3396","splice_feature","gene_short_name"
"chrX:47584936:47585015:+@chrX:47585543:47585667:+@chrX:47586521:47586789","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3397","splice_feature","gene_short_name"
"chrX:47585205:47585331:+@chrX:47585543:47585667:+@chrX:47586521:47586789","SE","ENSG00000102265.12","TIMP1","protein_coding","TIMP1_SE_id3398","splice_feature","gene_short_name"
"chr22:37675657:37675711:+@chr22:37676856:37677065:+@chr22:37678483:37678654","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19084","splice_feature","gene_short_name"
"chr22:37675657:37675711:+@chr22:37676856:37677065:+@chr22:37679603:37679802","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19085","splice_feature","gene_short_name"
"chr22:37675636:37675711:+@chr22:37676986:37677065:+@chr22:37678376:37678392","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19086","splice_feature","gene_short_name"
"chr22:37675636:37675711:+@chr22:37676986:37677065:+@chr22:37678483:37678654","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19087","splice_feature","gene_short_name"
"chr22:37675636:37675711:+@chr22:37676986:37677065:+@chr22:37679603:37679640","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19088","splice_feature","gene_short_name"
"chr22:37675688:37675711:+@chr22:37678376:37678392:+@chr22:37678483:37678654","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19089","splice_feature","gene_short_name"
"chr22:37676986:37677065:+@chr22:37678376:37678392:+@chr22:37678483:37678654","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19090","splice_feature","gene_short_name"
"chr22:37676999:37677065:+@chr22:37678376:37678654:+@chr22:37679603:37679802","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19091","splice_feature","gene_short_name"
"chr22:37675636:37675711:+@chr22:37678483:37678654:+@chr22:37679603:37679640","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19092","splice_feature","gene_short_name"
"chr22:37676856:37677065:+@chr22:37678483:37678654:+@chr22:37679603:37679640","SE","ENSG00000100097.12","LGALS1","protein_coding","LGALS1_SE_id19093","splice_feature","gene_short_name"
"chr17:34255285:34255425:+@chr17:34256222:34256339:+@chr17:34256722:34257203","SE","ENSG00000108691.10","CCL2","protein_coding","CCL2_SE_id36240","splice_feature","gene_short_name"
"chr15:44711509:44711613:+@chr15:44715423:44715701:+@chr15:44716329:44716356","SE","ENSG00000166710.23","B2M","protein_coding","B2M_SE_id56114","splice_feature","gene_short_name"
"chr15:44711509:44711613:+@chr15:44715423:44715701:+@chr15:44717607:44717704","SE","ENSG00000166710.23","B2M","protein_coding","B2M_SE_id56115","splice_feature","gene_short_name"
"chr15:44711487:44711613:+@chr15:44715423:44716356:+@chr15:44717607:44717765","SE","ENSG00000166710.23","B2M","protein_coding","B2M_SE_id56116","splice_feature","gene_short_name"
"chr15:44711519:44711613:+@chr15:44715434:44715701:+@chr15:44716329:44716356","SE","ENSG00000166710.23","B2M","protein_coding","B2M_SE_id56117","splice_feature","gene_short_name"
"chr15:44711519:44711613:+@chr15:44715434:44715701:+@chr15:44717607:44717622","SE","ENSG00000166710.23","B2M","protein_coding","B2M_SE_id56118","splice_feature","gene_short_name"
"chr15:44711509:44711613:+@chr15:44716329:44716356:+@chr15:44717607:44717622","SE","ENSG00000166710.23","B2M","protein_coding","B2M_SE_id56119","splice_feature","gene_short_name"
"chr15:44715423:44715701:+@chr15:44716329:44716356:+@chr15:44717607:44717622","SE","ENSG00000166710.23","B2M","protein_coding","B2M_SE_id56120","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83483513:83483588:+@chr5:83490098:83490472","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76305","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83483513:83483588:+@chr5:83512103:83512396","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76306","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83483513:83483588:+@chr5:83572416:83572560","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76307","splice_feature","gene_short_name"
"chr5:83471674:83472023:+@chr5:83490098:83490472:+@chr5:83493546:83493720","SE","ENSG00000038427.16","VCAN","protein_coding","VCAN_SE_id76308","splice_feature","gene_short_name"
